SN,z,I_SN,I_ajuste,residuo
2422,0.26318,0.23683486122597247,0.2320923500983289,0.004742511127643567
80646,0.31811,0.24150225497971609,0.2403312758572869,0.0011709791224291943
8921,0.14393,0.21487069398665842,0.2142060967439553,0.0006645972427031244
110460,0.19958,0.22151926084894244,0.2225530149759963,-0.0010337541270538653
12898,0.08286,0.20342933665313379,0.20504623517287277,-0.0016168985197389796
370595,0.18141,0.22372642789863315,0.21982770492610978,0.0038987229725233608
13689,0.24999,0.23199887309129652,0.2301139879872665,0.0018848851040300096
440005,0.30549,0.238825949704451,0.23843840778741524,0.0003875419170357719
14212,0.20284,0.23067732683934275,0.22304198089578883,0.007635345943553917
440050,0.28546,0.2295742903123854,0.23543411718206428,-0.005859826869678869
15132,0.15286,0.2184563417161134,0.21554550338927653,0.002910838326836862
2008bw,0.03348,0.196984957267904,0.19763975139392964,-0.0006547941260256485
15203,0.20291,0.22090475338617757,0.22305248016400525,-0.00214772677782768
1999cc,0.03144,0.19475381535281414,0.19733377272019442,-0.0025799573673802867
15440,0.2611,0.2223779078737052,0.23178037184275574,-0.009402463969050534
