SN,z,m_B
2422,0.26318,21.35760
80646,0.31811,21.81160
8921,0.14393,19.83575
110460,0.19958,20.61175
12898,0.08286,18.51790
370595,0.18141,20.42600
13689,0.24999,21.20115
440005,0.30549,21.69950
14212,0.20284,20.73490
440050,0.28546,21.46645
15132,0.15286,20.00240
2008bw,0.03348,16.48020
15203,0.20291,20.64165
1999cc,0.03144,16.31895
15440,0.26110,21.20360
2000cn,0.02348,15.66265
16259,0.11787,19.35185
2003cq,0.03416,16.57565
16276,0.19190,20.53150
2006cq,0.04949,17.32405
17825,0.16031,20.07605
6D4dh,0.30158,21.64245
18602,0.13679,19.76485
1997dg,0.03438,16.60710
19913,0.20532,20.73155
2001gb,0.02673,15.97105
20227,0.27540,21.44850
2006on,0.06888,18.17780
20581,0.20311,20.57340
2006te,0.03292,16.45200
